Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.3154269972451791,0.3181818181818182,39.4295412529928,8.161674924756152,78.23866605758667,60.30654372993701
Prompt-based,0,0.01652892561983471,0.016988062442607896,35.618768196131505,0.0,42.61148273944855,5.085860531437584
Prompt-based,1,0.0,0.0,34.71635541968262,0.688832632936748,42.11224615573883,6.628860892281491
Prompt-based,2,0.0,0.0,35.7601747512206,4.133936973592963,37.06989884376526,4.91732125381072
Prompt-based,3,0.0,0.0,34.427696415049894,0.3042527930640233,40.808406472206116,10.27958512330407
Prompt-based,4,0.0,0.0,35.09790194775535,1.6696415667801432,36.17245256900787,6.01530621151993
Prompt-based,5,0.0,0.0,35.23371102197468,3.8490861564583447,32.29818940162659,3.197013953978485
Prompt-based,6,0.0,0.0,34.69737494080536,0.0971354940547755,36.14546060562134,5.3544688399384235
Prompt-based,7,0.0,0.0,35.91924291720702,2.514149637319818,28.616097569465637,4.273254281486115
Prompt-based,8,0.0004591368227731864,0.0004591368227731864,35.11873766515077,0.0,35.915160179138184,3.171089862180239
Prompt-based,9,0.0,0.0,34.926752755116546,2.0564083301292833,37.87548243999481,7.740636550535663
Prompt-based,10,0.0,0.0,35.39347532067095,2.014181652064483,38.768041133880615,4.65372985602452
